"z","shelter","eggs","with_eggs","ground","ceiling","heatmat","move","room","tank#","tank_size","temperature","researcher","time","start_time","x","y","Date","ID","SVL","Weight","Sex"
"2","0","0",NA,"0","0","1","0","R002","3","s","24.39","BS","m","10:00","1","1","10/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","1","0","R002","3","s","24.33","BS","m","10:15","1","1","10/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","1","0","R002","3","s","24.24","BS","m","10:30","1","1","10/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","1","0","R002","3","s","24.24","BS","m","10:45","1","1","10/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0",NA,"R002","3","s","24.39","BS","a","11:30","2","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","11:45","2","2","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.38","BS","a","12:00","1","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.37","BS","a","12:15","1","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.34","BS","a","12:30","1","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.23","BS","a","12:45","1","2","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.23","BS","a","13:00","1","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.23","BS","a","13:15","1","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.24","BS","a","13:30","1","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.26","BS","a","13:45","2","1","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.34","BS","a","14:00","1","2","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.34","BS","a","14:15","1","2","15/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0",NA,"R002","3","s","24.4","BS","a","11:30","2","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.36","BS","a","11:45","2","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","12:00","2","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.37","BS","a","12:15","1","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.25","BS","a","12:30","2","2","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.26","BS","a","12:45","1","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.28","BS","a","13:00","1","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","13:15","1","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","13:30","1","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","13:45","1","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","14:00","1","1","16/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","14:15","1","1","16/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0",NA,"R002","3","s","25.21","BS","m","08:00","1","1","25/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","25.02","BS","m","08:15","1","1","25/11/2021",1,13.309,139,"F"
